restaurant_name,location,cuisines,estimated_cost_for_two,rating
Fatty Chang,HBR Layout,Chinese,300.0,3.2
Hotel Hyderabadi,Nagawara,"North Indian, Chinese",300.0,3.2
Mazedaar,HBR Layout,"North Indian, Chinese",300.0,3.2
Pig Out,Kammanahalli,South Indian,300.0,3.2
Delish Chinese Fast Food,Banaswadi,"Chinese, North Indian, Biryani",300.0,3.2
Panchamukhi Sagar,Banaswadi,"North Indian, South Indian, Chinese",300.0,3.2
Bismilla Kabab & Biryani Centre,Kalyan Nagar,"North Indian, Chinese",300.0,3.2
S-Aachies Hotel,Banaswadi,"South Indian, Chinese, Biryani",300.0,3.2
Mangalore Lunch Home,HBR Layout,"Mangalorean, Seafood",300.0,3.2
RotiCurry,HSR,"Street Food, North Indian",300.0,3.2
Khan Saab Hotel,Bommanahalli,"North Indian, Biryani, Chinese",300.0,3.2
Shiva Sai Andhra Hotel,Ejipura,"South Indian, Chinese",300.0,3.2
Malabar Xpress,Koramangala 5th Block,"South Indian, Kerala",300.0,3.2
Donne Biriyani Mane,Majestic,Biryani,300.0,3.2
New Mathura Grand,Majestic,"South Indian, North Indian, Chinese",300.0,3.2
Dream Coffee House,Malleshwaram,"Cafe, Bakery",300.0,3.2
Oyalo,Malleshwaram,Pizza,300.0,3.2
Food N Joyy,RT Nagar,"Fast Food, Chinese, Street Food",300.0,3.2
FIFA Cafe,Marathahalli,"Cafe, Beverages, Fast Food",300.0,3.2
Central Cafe,Marathahalli,"Beverages, Fast Food",300.0,3.2
Ice Creamist,Kaggadasapura,"Ice Cream, Desserts",300.0,3.2
Kabab Mirchi,Marathahalli,"North Indian, Chinese, Mughlai",300.0,3.2
Ashirvad Resturant,Marathahalli,"North Indian, Chinese",300.0,3.2
Kerala Cafe,Kaggadasapura,"Kerala, South Indian, North Indian",300.0,3.2
Udupi Tazza Thindi,New BEL Road,"South Indian, North Indian, Chinese",300.0,3.2
Midnight Hunger Project,New BEL Road,"North Indian, South Indian, Chinese",300.0,3.2
Brown Crust Cafe,Old Airport Road,"Cafe, Italian, Desserts",300.0,3.2
Andal Mess,Indiranagar,"South Indian, North Indian",300.0,3.2
Chef Fast Food,Old Airport Road,"Fast Food, North Indian, South Indian",300.0,3.2
Bangalore Grill House,Thippasandra,"Arabian, BBQ, Mexican",300.0,3.2
Mallnad Hotel,Rajajinagar,"North Indian, Chinese",300.0,3.2
Gulbarga Refreshment,Rajajinagar,South Indian,300.0,3.2
Srinidhi Donne Biryani,Basaveshwara Nagar,Biryani,300.0,3.2
A1 Ambur Dum Biryani And Parota Centre,Basaveshwara Nagar,Biryani,300.0,3.2
Karnataka Briyani point,Peenya,"North Indian, Chinese",300.0,3.2
Sanyogita's,Sarjapur Road,North Indian,300.0,3.2
Friend's Own,Whitefield,"North Indian, Bengali, Chinese",300.0,3.2
Shyam's Lunch Box,Whitefield,"Biryani, South Indian, Chinese, North Indian",300.0,3.2
Hyderabad Biryani,Whitefield,Biryani,300.0,3.2
F5,Whitefield,"North Indian, South Indian, Chinese, Continental, Arabian",300.0,3.2
Hotel Nisarga Restaurant,Whitefield,"Chinese, North Indian",300.0,3.2
Curry Point,Whitefield,North Indian,300.0,3.2
Nawabs Empire,"ITPL Main Road, Whitefield","North Indian, Chinese, Arabian, Momos",300.0,3.2
Red Chilli Restaurant,Bannerghatta Road,"North Indian, Chinese",350.0,3.2
Garma Garam,Bannerghatta Road,"North Indian, Chinese, Biryani, Rolls",350.0,3.2
Kanchan Dhaba,Bannerghatta Road,"North Indian, Chinese",350.0,3.2
Freshies Gourmet Salads,Bellandur,"Salad, Healthy Food",350.0,3.2
Masale Daan,Richmond Road,North Indian,350.0,3.2
Mathsya Darshini,Lavelle Road,"Seafood, Mangalorean",350.0,3.2
Sri Udupi Grand,Shanti Nagar,"South Indian, North Indian, Chinese",350.0,3.2
Fitnest,BTM,"Healthy Food, North Indian",350.0,3.2
The Kitchen Bandit,Koramangala 2nd Block,"Chinese, North Indian, Fast Food",350.0,3.2
New Surya Sweets & Snacks,BTM,"Mithai, Street Food",350.0,3.2
Sumai Foods,Bommanahalli,"North Indian, Chinese, Fast Food",350.0,3.2
Nimma Mane,Seshadripuram,Biryani,350.0,3.2
Sagar Kabab Corner,Yeshwantpur,"North Indian, Chinese, Biryani",350.0,3.2
Al-Baik Kabab Corner,Yeshwantpur,"Kebab, Biryani",350.0,3.2
The Bengal Rasoi,Kaggadasapura,Bengali,350.0,3.2
Food Box -The Taste Of Odisha,Marathahalli,"Chinese, Oriya, Bengali, North Indian",350.0,3.2
Sri Vinayaka 99 Variety Dosa,Marathahalli,South Indian,350.0,3.2
Samudra Restaurant,Vijay Nagar,"North Indian, Chinese, Seafood",350.0,3.2
Kentaky Fast Food,Basaveshwara Nagar,"North Indian, Chinese, Seafood",350.0,3.2
Biriyani Adda,Bellandur,"Biryani, Fast Food",350.0,3.2
Punjab Junction,Whitefield,North Indian,350.0,3.2
Biriyani House,Whitefield,"Andhra, Biryani",350.0,3.2
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",400.0,3.2
Sher-E-Punjab,BTM,"North Indian, Chinese",400.0,3.2
Food Ka Masti,Bannerghatta Road,"North Indian, Chinese, South Indian",400.0,3.2
TFI - The Fresh Ice Cream,Bannerghatta Road,"Ice Cream, Beverages",400.0,3.2
Hotel Annapoorna,Bannerghatta Road,"South Indian, Chinese, North Indian, Seafood",400.0,3.2
Shiv Sai,Bannerghatta Road,North Indian,400.0,3.2
Just Bake,Bannerghatta Road,"Bakery, Desserts",400.0,3.2
Pizza Da Dhaba,Bannerghatta Road,"Fast Food, Pizza",400.0,3.2
Suchi Ruchi Veg & Non Veg Resturant,Bannerghatta Road,"South Indian, North Indian",400.0,3.2
Garage Pizza,Basavanagudi,Pizza,400.0,3.2
Adithya,Jayanagar,"North Indian, Chinese",400.0,3.2
Sk Grand Hotel,Jayanagar,South Indian,400.0,3.2
Hotel Anand Vihar,City Market,"North Indian, Chinese",400.0,3.2
Aapni Rasoi,Bellandur,North Indian,400.0,3.2
T.A.K - That Affordable Kitchen,HSR,"Continental, North Indian",400.0,3.2
Khan Saheb Grills And Rolls,Sarjapur Road,"Biryani, Fast Food, Rolls",400.0,3.2
Savi Sagar,Bellandur,"North Indian, South Indian, Chinese",400.0,3.2
The Milkshake Theory,Lavelle Road,"Beverages, Fast Food",400.0,3.2
Shree Sadguru Refreshment,Ulsoor,"South Indian, Chinese",400.0,3.2
Dasaprakash Cafe,MG Road,Cafe,400.0,3.2
Galaxy 2 Restaurant,Shivajinagar,"North Indian, Chinese, Kerala, Arabian",400.0,3.2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Delight,Marathahalli,"Cafe, Italian",400.0,3.2
Dabba Gosht,"Varthur Main Road, Whitefield","Arabian, Middle Eastern",400.0,3.2
Skandas Veg Restaurant,Brookefield,"South Indian, North Indian",400.0,3.2
Andhra Spices,Brookefield,"Andhra, Chinese, South Indian",400.0,3.2
Special Biryani House,Whitefield,"North Indian, Biryani, Chinese",400.0,3.2
Karavalli Food Court,Whitefield,South Indian,400.0,3.2
Andhra Box,Marathahalli,"Andhra, Biryani, Chinese",400.0,3.2
Indian Highway Restaurant,Marathahalli,"North Indian, Chinese, Fast Food",400.0,3.2
MK Dabbawala,Brookefield,North Indian,400.0,3.2
Visantoe,Whitefield,Fast Food,400.0,3.2
The North and South Restaurant,Whitefield,"North Indian, Chinese, South Indian",400.0,3.2
Donne Biriyani House,HSR,"Biryani, South Indian",400.0,3.2
HSR Agarval Bhavan,HSR,"South Indian, Street Food, Fast Food, Desserts, Beverages",400.0,3.2
Prakruthi Restaurant,Bommanahalli,"Andhra, North Indian",400.0,3.2
Kolkata Kitchen,Electronic City,"North Indian, Fast Food, Biryani",400.0,3.2
Andhra Spicy Food Court,Electronic City,"Andhra, Biryani",400.0,3.2
Bhukkads,Electronic City,"Chinese, North Eastern",400.0,3.2
Just Bake,Electronic City,"Bakery, Desserts",400.0,3.2
Cake Dilim,Electronic City,"Bakery, Desserts",400.0,3.2
MK Dabbawala,Electronic City,North Indian,400.0,3.2
Domino's Pizza,Electronic City,"Pizza, Fast Food",400.0,3.2
Daafoodies,Electronic City,Kerala,400.0,3.2
Delhi Pizza House,Electronic City,"Pizza, American",400.0,3.2
Lychees Restaurant,Frazer Town,Fast Food,400.0,3.2
Donne Biriyani Mane,HSR,"Biryani, Kebab",400.0,3.2
Cake Menu,Bommanahalli,Bakery,400.0,3.2
New Punjabi Hotel,Old Airport Road,"North Indian, Chinese",400.0,3.2
Andhra Mess,Domlur,"Andhra, Biryani, Chinese",400.0,3.2
La Mirch,Indiranagar,"North Indian, Kashmiri",400.0,3.2
Chilli N Chicken,JP Nagar,Andhra,400.0,3.2
Pappu Da Dhaba,Jayanagar,"North Indian, Fast Food, Beverages, Momos",400.0,3.2
Janatha Cafe,Hennur,"South Indian, Kerala",400.0,3.2
Silver Spoon Restaurant,Hennur,"North Indian, Chinese, Continental",400.0,3.2
Sai Bhavan Veg & Non Veg,Banaswadi,"Mughlai, Chinese, South Indian",400.0,3.2
Delly Belly,Koramangala 6th Block,"North Indian, Mughlai",400.0,3.2
Keventers,Koramangala 7th Block,"Desserts, Beverages, Ice Cream",400.0,3.2
Aubree,Shivajinagar,"Cafe, Bakery",400.0,3.2
The Timber Times Cafe,Malleshwaram,Cafe,400.0,3.2
Maddy's Katti Cafe,Rajajinagar,"Fast Food, Beverages",400.0,3.2
NOC Cafe & Catering,New BEL Road,"North Indian, Fast Food",400.0,3.2
SGS Non Veg - Gundu Pulav,Malleshwaram,"Biryani, Fast Food",400.0,3.2
Chikpet Donne Biriyani Corner,Basaveshwara Nagar,"Biryani, Kebab",400.0,3.2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Delight,Marathahalli,"Cafe, Italian",400.0,3.2
La Mirch,Marathahalli,"North Indian, Kashmiri",400.0,3.2
Sree Saravana Bhavan,Marathahalli,South Indian,400.0,3.2
MK Dabbawala,Marathahalli,North Indian,400.0,3.2
Longlive Pizza,Kaggadasapura,"Pizza, Fast Food",400.0,3.2
Dodda Mane Donne Biryani,Brookefield,"North Indian, Mughlai, Chinese",400.0,3.2
The French Loaf,Marathahalli,"Bakery, Desserts, Sandwich",400.0,3.2
Chicken County,New BEL Road,"Chinese, North Indian",400.0,3.2
New Shanthi Sagar,Sahakara Nagar,"South Indian, North Indian, Chinese",400.0,3.2
Amrita Nadia Sweets,Jalahalli,Mithai,400.0,3.2
Gowdru Mane Bhaduta,Rajajinagar,"North Indian, South Indian",400.0,3.2
Shradhi Lunch Home,Rajajinagar,"Mughlai, North Indian, Chinese",400.0,3.2
4 States,Bellandur,South Indian,400.0,3.2
Taste Of India Family Restaurant,Whitefield,"North Indian, South Indian",400.0,3.2
Punjabi Tadka,Whitefield,"North Indian, Chinese",400.0,3.2
Jalsa Adda,Whitefield,"North Indian, South Indian, Arabian",400.0,3.2
Day N Night Kitchen,BTM,"Biryani, Chinese, North Indian",450.0,3.2
Shanghai Times,Bannerghatta Road,"Chinese, Asian",450.0,3.2
FreshMenu,Marathahalli,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,3.2
KFC,Sarjapur Road,"Burger, Fast Food",450.0,3.2
New Kudla Family Resturant,MG Road,"North Indian, Chinese",450.0,3.2
New Kohinoor Hotel,Commercial Street,North Indian,450.0,3.2
FreshMenu,Whitefield,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,3.2
Food Point,Whitefield,North Indian,450.0,3.2
Cake 24x7,Whitefield,"Bakery, Desserts",450.0,3.2
Tandoor Hub & Golmaal Paratha,BTM,North Indian,450.0,3.2
New Food Magic,Electronic City,"Andhra, Chinese, North Indian, South Indian",450.0,3.2
Salt And Spice,Electronic City,"North Indian, Kerala",450.0,3.2
Dilli 6,Electronic City,"North Indian, Chinese",450.0,3.2
Ambur Biryani,HSR,"South Indian, Fast Food",450.0,3.2
Spices,CV Raman Nagar,"South Indian, North Indian, Chinese, Biryani",450.0,3.2
SHAIK's DYNASTY,Kammanahalli,"North Indian, Chinese",450.0,3.2
Chicken Corner,Majestic,"North Indian, Chinese, Mughlai",450.0,3.2
Race Course Restaurant,Rajajinagar,"Chinese, North Indian, South Indian",450.0,3.2
Udupi Grand Veg,Marathahalli,South Indian,450.0,3.2
UBQ By Barbeque Nation,Marathahalli,"North Indian, BBQ, Biryani, Kebab",450.0,3.2
Savi Sagar,Rajajinagar,"South Indian, Chinese, North Indian",450.0,3.2
Swathi Delux,Majestic,"North Indian, Chinese, Andhra",450.0,3.2
Folklore Restaurant,Sarjapur Road,"North Indian, South Indian, Kerala, Seafood",450.0,3.2
Hearts Unlock Cafe,BTM,"Cafe, Healthy Food",500.0,3.2
Hyderabadi Bawarchi,Bannerghatta Road,"North Indian, Chinese, Biryani",500.0,3.2
Jhasaa,BTM,"Seafood, Salad, North Indian, Biryani, Chinese",500.0,3.2
Odians,Marathahalli,"North Indian, Chinese, Oriya",500.0,3.2
Amrutha Grand Restaurant,Sarjapur Road,"North Indian, Biryani, Chinese",500.0,3.2
Yummy Punjabi Delight,Bellandur,North Indian,500.0,3.2
Mast Biryani - Fresh Indian Kitchen,Bellandur,"Biryani, North Indian, Mughlai, Fast Food",500.0,3.2
Burger Crush,Sarjapur Road,Fast Food,500.0,3.2
Refresh,Brookefield,"Cafe, Beverages",500.0,3.2
FIFA Cafe,Marathahalli,"Cafe, Beverages",500.0,3.2
Chatpata,Brookefield,Street Food,500.0,3.2
Kaayal,Brookefield,"Kerala, Chinese",500.0,3.2
Biryani Pot,Marathahalli,Biryani,500.0,3.2
Nawab-E-Khana,BTM,"North Indian, Biryani",500.0,3.2
Ustaad Biryani,HSR,Biryani,500.0,3.2
Abhiruchi Hotel,Bommanahalli,"North Indian, South Indian, Chinese",500.0,3.2
Midnight Hunger Solutions 24/7,Koramangala 5th Block,"North Indian, Mughlai, Chinese",500.0,3.2
Me And My Cake,Bommanahalli,"Bakery, Desserts",500.0,3.2
This Cafe Has No Name Cafe,Electronic City,"Cafe, Beverages",500.0,3.2
Fresh 'N' Grills,Electronic City,"Sandwich, Salad, North Indian, Chinese",500.0,3.2
VMS Star Biriyani,Electronic City,"Biryani, North Indian",500.0,3.2
CakeZone,Electronic City,"Bakery, Desserts",500.0,3.2
Shree Ranga Vilas,Electronic City,"North Indian, South Indian, Chinese, Juices",500.0,3.2
Night Fox,Bommanahalli,"South Indian, North Indian, Chinese",500.0,3.2
Zodiac Grills,HSR,"North Indian, Chinese",500.0,3.2
Begum's Biriyani,HSR,"Biryani, North Indian, Chinese",500.0,3.2
Loyal Food,Indiranagar,Continental,500.0,3.2
Meat And Eat,Wilson Garden,"Fast Food, Burger",500.0,3.2
Happiness Bars,JP Nagar,Desserts,500.0,3.2
YumYumDilli,Hennur,North Indian,500.0,3.2
Rasapoorna,Nagawara,"Andhra, Chinese, North Indian",500.0,3.2
The Flavours,Kalyan Nagar,"Kerala, Chinese, Arabian, Biryani",500.0,3.2
Food Star,Kammanahalli,"North Indian, Chinese",500.0,3.2
Sweet Chariot,Banaswadi,"Bakery, Fast Food",500.0,3.2
Navami Kitchen,Banaswadi,"Andhra, North Indian, Chinese, Seafood",500.0,3.2
Big Foody's,Koramangala 8th Block,"North Indian, Chinese, South Indian, Fast Food",500.0,3.2
Tata Cha,Malleshwaram,"Cafe, Tea, North Indian",500.0,3.2
The Biryani Culture,Malleshwaram,North Indian,500.0,3.2
Biriyani Nights,New BEL Road,"Biryani, Kebab, Continental",500.0,3.2
Biryani Bar,Marathahalli,Biryani,500.0,3.2
Chellappa's,Kaggadasapura,"Chettinad, South Indian, North Indian",500.0,3.2
Kalinga Delicacies Restaurant,Brookefield,"North Indian, Bengali, Oriya, Chinese",500.0,3.2
Thalassery Restaurant,Marathahalli,"Kerala, Biryani, South Indian, North Indian, Chinese, Arabian, Beverages",500.0,3.2
Kofabell,Marathahalli,North Indian,500.0,3.2
Hotel Jai Jaganath,Marathahalli,"Chinese, North Indian",500.0,3.2
Mr. Chef,New BEL Road,"North Indian, Chinese, Biryani",500.0,3.2
Kaayal,Jeevan Bhima Nagar,"Kerala, Chinese",500.0,3.2
Meat and eat,Kaggadasapura,"Fast Food, Burger",500.0,3.2
Shree Durga,Old Airport Road,"North Indian, Chinese, Seafood",500.0,3.2
Hotel Halli Nenapu,Rajajinagar,South Indian,500.0,3.2
Online Cake and Flower.com,Whitefield,"Bakery, Desserts",500.0,3.2
Spicy Andhra,Whitefield,"Andhra, Chinese, North Indian",500.0,3.2
Punjabi Tadka,Whitefield,North Indian,500.0,3.2
Cuppa,Jayanagar,"Cafe, Fast Food",550.0,3.2
Spice Garden by Dum Mast Biryani,Bellandur,"North Indian, South Indian, Biryani, Continental",550.0,3.2
Mughals Restaurant,Shivajinagar,"Mughlai, North Indian, Chinese, Biryani, Seafood",550.0,3.2
Asia In A Box,Koramangala 1st Block,"Thai, Asian",550.0,3.2
S.K Green Gardens,Electronic City,"North Indian, Chinese, Seafood, South Indian",550.0,3.2
Oyster Bay,Old Airport Road,North Indian,550.0,3.2
Taza Tawa,Sarjapur Road,"North Indian, Chinese, Kebab, Beverages",550.0,3.2
CAFE NOVA,Banashankari,"Cafe, Bakery",600.0,3.2
Subway,Bannerghatta Road,"Salad, Fast Food",600.0,3.2
Daily Bread,JP Nagar,"Bakery, Fast Food, Italian",600.0,3.2
Pizza Stop,Sarjapur Road,"Pizza, Italian",600.0,3.2
Mughal Samraj,Bellandur,Fast Food,600.0,3.2
Oven Fresh,Bellandur,"Bakery, Fast Food",600.0,3.2
Smokie Brownie,Brigade Road,Cafe,600.0,3.2
Chaithanya Andhra Style Family Restaurant,Cunningham Road,"Andhra, North Indian, Chinese",600.0,3.2
Kabab Ghar,Whitefield,"Biryani, North Indian, Kebab",600.0,3.2
Night Biryani,BTM,"Biryani, North Indian",600.0,3.2
Lazeez,Koramangala 5th Block,"North Indian, Mughlai, Biryani",600.0,3.2
Yum Kitchen,HSR,"North Indian, Chinese",600.0,3.2
Mesa Deli - Svenska Design Hotel,Electronic City,"North Indian, Italian",600.0,3.2
Biriyani Bungalow,HSR,"Biryani, North Indian",600.0,3.2
Pizza Stop,Domlur,"Pizza, Italian",600.0,3.2
Night Booze,Thippasandra,"North Indian, Fast Food",600.0,3.2
Momo Rice Noodles,Domlur,"Chinese, Momos",600.0,3.2
Durbari Restaurant,JP Nagar,"North Indian, Chinese, Mughlai",600.0,3.2
Adukkala Restaurant,Banaswadi,Kerala,600.0,3.2
Biryani Hub,Nagawara,"North Indian, South Indian, Biryani",600.0,3.2
7Biryanis,Nagawara,"Andhra, Biryani",600.0,3.2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,Koramangala 4th Block,"Cafe, American, European",600.0,3.2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,Koramangala 4th Block,"Cafe, American, European",600.0,3.2
Samrat Family Restaurant & Bar,RT Nagar,"North Indian, Andhra, Chinese",600.0,3.2
The LaLiT Boulangerie - The LaLiT Ashok Bangalore,Seshadripuram,"Bakery, Desserts",600.0,3.2
Damodar Seth,Marathahalli,"Bengali, Chinese, North Indian",600.0,3.2
BFC Family Restaurant,Kaggadasapura,"North Indian, Biryani, Chinese, Rolls",600.0,3.2
Bhagini Icon Boutique Hotel,Indiranagar,"South Indian, North Indian, Continental",600.0,3.2
Sindhu Family Restaurant,New BEL Road,"North Indian, Chinese, Seafood",600.0,3.2
Daily Bread,Old Airport Road,"Bakery, Fast Food, Italian",600.0,3.2
Al Taj Fast Food,Vijay Nagar,"Fast Food, North Indian, South Indian, Chinese",600.0,3.2
Hyderabad Biryani,Whitefield,"North Indian, Chinese, Biryani",600.0,3.2
Vijayawada Heights,Whitefield,North Indian,600.0,3.2
Chef & Dine,Bannerghatta Road,"North Indian, Arabian, Fast Food",650.0,3.2
Cafe Coffee Day,Koramangala 7th Block,Cafe,650.0,3.2
Eat Repeat Express,JP Nagar,"North Indian, South Indian, Chinese, Biryani, Mexican",700.0,3.2
Pepper Crown Restaurant,Bannerghatta Road,"Continental, North Indian, Chinese",700.0,3.2
Eagle Ridge,Bannerghatta Road,"South Indian, North Indian, Chinese",700.0,3.2
Eagle Bar & Restaurant,JP Nagar,"North Indian, Chinese",700.0,3.2
Meenu Oota Da Maane,Brigade Road,"Seafood, Mangalorean, Chinese",700.0,3.2
Mallige,Race Course Road,"North Indian, South Indian",700.0,3.2
Dindigul Time Pass Restaurant,HSR,"South Indian, North Indian, Chinese, Biryani",700.0,3.2
Le Rosa Restaurant,HSR,"North Indian, Mughlai, Biryani",700.0,3.2
Benzys,BTM,"Arabian, Chinese, Hyderabadi, Kerala",700.0,3.2
Hotel The Nalanda,Electronic City,"North Indian, South Indian",700.0,3.2
Sultan's Biryani,HSR,"Biryani, North Indian",700.0,3.2
The Green House Family Restaurant,Majestic,"North Indian, Chinese, Seafood, Biryani",700.0,3.2
Pavilion,Majestic,"North Indian, Chinese",700.0,3.2
Rayalaseema Ruchulu,New BEL Road,"Andhra, North Indian",700.0,3.2
Opel Lounge,Yeshwantpur,"Finger Food, Chinese, North Indian",700.0,3.2
A Southern Fair,Whitefield,"Biryani, Seafood, South Indian",750.0,3.2
Pizza Hut,Electronic City,"Pizza, Fast Food",750.0,3.2
Pizza Hut,Nagawara,Pizza,750.0,3.2
Blue Heaven Bar And Restaurant,Majestic,"Chinese, North Indian",750.0,3.2
New Prashanth Hotel,Basaveshwara Nagar,"South Indian, Biryani, Chinese, North Indian",750.0,3.2
Singh Saheb Di Rasoi,Bellandur,North Indian,800.0,3.2
Gam's Delicacy,JP Nagar,"North Indian, Chinese, Assamese",800.0,3.2
Daniyal's,BTM,"North Indian, Biryani, Mughlai, Kebab",800.0,3.2
Moriz Restaurant,Marathahalli,"Arabian, North Indian, Seafood, Chinese, Biryani",800.0,3.2
Amantrana,Magadi Road,"North Indian, South Indian",800.0,3.2
Beijing Bites,Jeevan Bhima Nagar,"Chinese, Thai",850.0,3.2
Melange - Hotel Ekaa,Electronic City,"North Indian, Chinese, Continental, Mangalorean",900.0,3.2
Hotel Ivy Dew Drops,Electronic City,"South Indian, North Indian, Chinese",900.0,3.2
Cafe Coffee Day,New BEL Road,"Cafe, Fast Food",900.0,3.2
Helloo Delhi,Sarjapur Road,North Indian,1000.0,3.2
Height's Cafe - Hotel Bangalore International,Race Course Road,"Continental, South Indian",1000.0,3.2
Goofy's,Indiranagar,Finger Food,1000.0,3.2
Imperial Room,Majestic,"North Indian, Chinese",1000.0,3.2
H3O,New BEL Road,"North Indian, Chinese",1000.0,3.2
Chord Road Resto-Bar,Rajajinagar,"North Indian, South Indian, Chinese",1000.0,3.2
H3O,Rajajinagar,"North Indian, Chinese",1000.0,3.2
Great Moments - Hotel Bangalore International,Race Course Road,Finger Food,1100.0,3.2
Hide Out - The Golden Tulip,Electronic City,Finger Food,1800.0,3.2
Coffee Bytes,Banashankari,"Fast Food, South Indian",100.0,3.1
Kolkata Famous Kati Rolls,Bannerghatta Road,"Fast Food, Rolls",100.0,3.1
Delhi Sweets,JP Nagar,"Street Food, Mithai",100.0,3.1
Pooja Veg,Frazer Town,South Indian,100.0,3.1
Pani Puri,Marathahalli,Street Food,100.0,3.1
Chaiwala,Koramangala 1st Block,Fast Food,100.0,3.1
Smoothie Hub,BTM,"Beverages, Sandwich",100.0,3.1
Ice Cream Buggy,South Bangalore,Ice Cream,100.0,3.1
Atithi Point Ande Ka Funda,Banashankari,North Indian,150.0,3.1
Fresh Lemon Soda,Bannerghatta Road,"Beverages, Street Food",150.0,3.1
Rampyari Chaiwala Netaji Bhajiawala,Sarjapur Road,"Street Food, South Indian",150.0,3.1
Roll junction,Bellandur,"Fast Food, Rolls",150.0,3.1
Uttar Karnataka Lunch Home,Bellandur,South Indian,150.0,3.1
South Inn,Frazer Town,South Indian,150.0,3.1
Home Treat,Brigade Road,North Indian,150.0,3.1
Samosa Express,BTM,Street Food,150.0,3.1
C K Bake & Juice,BTM,"Juices, Street Food",150.0,3.1
Mini Fast Food,Frazer Town,"Fast Food, Chinese",150.0,3.1
Bismillah Ambur Biryani,Indiranagar,Biryani,150.0,3.1
Arun Icecreams,Banaswadi,"Ice Cream, Desserts",150.0,3.1
Sardarji Ka Kitchen,New BEL Road,North Indian,150.0,3.1
Davanagere Benne Dosa Hotel,Kaggadasapura,South Indian,150.0,3.1
Ambur Dum Biriyani,Indiranagar,"Biryani, Kebab",150.0,3.1
Ganga Sagar,Rajajinagar,Street Food,150.0,3.1
Pizza Da Dhaba,Sarjapur Road,"North Indian, Pizza",150.0,3.1
Roll Junction,Whitefield,"Fast Food, Rolls",150.0,3.1
Sri Krishna Darshini,Basavanagudi,"South Indian, North Indian, Chinese",200.0,3.1
New Quality Dum Biryani,Banashankari,Biryani,200.0,3.1
Dazu Momoz,Bannerghatta Road,"Tibetan, Momos",200.0,3.1
Hot Rolls & House Of Kebabs,JP Nagar,"Rolls, Kebab, Biryani",200.0,3.1
Darjeeling Momo Adda,Bannerghatta Road,"Chinese, Tibetan, North Indian, Momos",200.0,3.1
Pet Full @ 99,Sarjapur Road,North Indian,200.0,3.1
Talk Ease,City Market,Cafe,200.0,3.1
Sangam Sweets,Seshadripuram,"Mithai, Street Food",200.0,3.1
Chinese Corner,Brigade Road,Chinese,200.0,3.1
Queens Food Corner,Cunningham Road,"Kerala, South Indian",200.0,3.1
Sri Fast Food,Brookefield,"Chinese, Biryani",200.0,3.1
Shree Durgamba Juice Centre,Koramangala 8th Block,Beverages,200.0,3.1
Gundappa Donne Biryani,Koramangala 7th Block,Biryani,200.0,3.1
Ronnie's Kitchen,Koramangala 5th Block,Chinese,200.0,3.1
House Of Wholewheat,Koramangala 1st Block,"Bakery, Desserts",200.0,3.1
Cool Lassi Burger,Koramangala 5th Block,"Beverages, Fast Food, Burger",200.0,3.1
Juice Buzz,JP Nagar,Juices,200.0,3.1
Jayanthi Sagar,Koramangala 5th Block,"South Indian, North Indian, Chinese",200.0,3.1
Kettle & Kegs,Electronic City,"Tea, Beverages",200.0,3.1
Kitchens@HSR,HSR,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",200.0,3.1
Ur Cutlet Factory,HSR,Fast Food,200.0,3.1
Ambur Hot Dum Biryani,Old Airport Road,Biryani,200.0,3.1
Ambur Dum Biriyani,Indiranagar,Biryani,200.0,3.1
Sri Vasavi Super Sandwich,Indiranagar,"Fast Food, Sandwich, Juices",200.0,3.1
RJ Food Plaza,Old Airport Road,"North Indian, Biryani",200.0,3.1
Famous Dum Biriyani,Wilson Garden,Biryani,200.0,3.1
Kolkata Famous Kati Rolls,Banaswadi,"Fast Food, Rolls",200.0,3.1
Havmor,Banaswadi,"Ice Cream, Desserts",200.0,3.1
The Fresh Factor,Koramangala 6th Block,"Juices, Sandwich",200.0,3.1
Venus Biryani,Domlur,"Biryani, Chinese",200.0,3.1
Delhi Delight Food Cafe,Jeevan Bhima Nagar,"Chinese, North Indian",200.0,3.1
Sangam Sweets,Marathahalli,"Mithai, Street Food",200.0,3.1
Sankranthi Veg,Thippasandra,"South Indian, North Indian, Chinese",200.0,3.1
Indira Darshini,Cunningham Road,"South Indian, Chinese",200.0,3.1
Bihar Bhojanalaya,New BEL Road,"North Indian, Bihari",200.0,3.1
Gelato Italiano,Whitefield,"Ice Cream, Bakery, Desserts",200.0,3.1
Tanna's Kitchen,Kumaraswamy Layout,"Italian, Chinese, Street Food",250.0,3.1
